id,label
0,1
1,1
2,0
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,1
14,1
15,1
16,0
17,1
18,1
19,0
20,1
21,1
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,0
30,1
31,1
32,0
33,1
34,0
35,1
36,1
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,1
47,1
48,0
49,1
50,1
51,0
52,1
53,1
54,0
55,0
56,1
57,0
58,1
59,1
60,1
61,0
62,1
63,0
64,1
65,0
66,1
67,1
68,0
69,0
70,1
71,1
72,0
73,0
74,1
75,0
76,1
77,1
78,1
79,0
80,1
81,0
82,1
83,0
84,1
85,0
86,0
87,1
88,1
89,0
90,0
91,1
92,0
93,0
94,1
95,1
96,1
97,0
98,1
99,0
100,1
101,0
102,0
103,0
104,0
105,1
106,0
107,1
108,0
109,1
110,1
111,0
112,0
113,1
114,0
115,1
116,1
117,1
118,1
119,1
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,1
130,0
131,1
132,1
133,0
134,1
135,0
136,1
137,0
138,0
139,1
140,1
141,0
142,0
143,0
144,0
145,1
146,0
147,0
148,0
149,0
150,0
151,1
152,0
153,1
154,0
155,1
156,1
157,0
158,1
159,1
160,0
161,1
162,1
163,1
164,0
165,1
166,0
167,1
168,1
169,0
170,1
171,1
172,0
173,0
174,1
175,0
176,0
177,0
178,1
179,1
180,1
181,1
182,1
183,0
184,1
185,1
186,0
187,1
188,0
189,1
190,0
191,0
192,1
193,1
194,0
195,1
196,0
197,1
198,0
199,1
200,0
201,1
202,0
203,0
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,0
212,0
213,0
214,0
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,0
224,1
225,0
226,0
227,0
228,0
229,0
230,1
231,1
232,0
233,0
234,1
235,0
236,0
237,1
238,1
239,0
240,0
241,1
242,1
243,0
244,1
245,1
246,0
247,0
248,1
249,1
250,0
251,0
252,0
253,0
254,0
255,0
256,1
257,0
258,0
259,0
260,1
261,1
262,1
263,1
264,0
265,0
266,1
267,0
268,1
269,1
270,1
271,0
272,1
273,0
274,0
275,1
276,1
277,0
278,0
279,1
280,0
281,1
282,1
283,1
284,0
285,0
286,0
287,0
288,0
289,1
290,0
291,1
292,1
293,0
294,0
295,0
296,0
297,0
298,1
299,0
300,1
301,0
302,1
303,1
304,1
305,0
306,0
307,0
308,0
309,1
310,1
311,1
312,1
313,0
314,1
315,0
316,1
317,0
318,0
319,0
320,1
321,0
322,1
323,0
324,0
325,0
326,0
327,0
328,1
329,0
330,1
331,0
332,0
333,0
334,1
335,0
336,0
337,1
338,0
339,0
340,1
341,1
342,1
343,0
344,1
345,0
346,1
347,1
348,1
349,0
350,1
351,1
352,1
353,0
354,0
355,1
356,0
357,0
358,0
359,0
360,1
361,0
362,0
363,1
364,1
365,0
366,1
367,0
368,0
369,1
370,0
371,0
372,0
373,1
374,1
375,0
376,1
377,1
378,1
379,1
380,0
381,1
382,0
383,1
384,1
385,1
386,1
387,1
388,1
389,0
390,1
391,1
392,0
393,1
394,1
395,0
396,1
397,0
398,1
399,0
400,1
401,0
402,1
403,0
404,1
405,0
406,1
407,0
408,0
409,0
410,0
411,1
412,1
413,1
414,0
415,0
416,0
417,0
418,1
419,0
420,1
421,0
422,1
423,1
424,1
425,0
426,1
427,1
428,1
429,1
430,0
431,1
432,1
433,0
434,0
435,0
436,0
437,0
438,0
439,1
440,1
441,1
442,1
443,0
444,1
445,1
446,1
447,0
448,1
449,1
450,1
451,1
452,0
453,1
454,1
455,0
456,0
457,1
458,1
459,0
460,0
461,0
462,1
463,1
464,1
465,1
466,0
467,0
468,1
469,0
470,0
471,1
472,1
473,1
474,1
475,0
476,0
477,1
478,1
479,1
480,0
481,0
482,0
483,1
484,1
485,1
486,1
487,1
488,0
489,0
490,1
491,1
492,1
493,0
494,1
495,1
496,1
497,0
498,0
499,1
500,0
501,1
502,0
503,0
504,1
505,1
506,1
507,0
508,0
509,0
510,1
511,1
512,1
513,1
514,0
515,1
516,1
517,1
518,0
519,1
520,0
521,0
522,0
523,0
524,1
525,0
526,0
527,0
528,1
529,0
530,1
531,0
532,1
533,1
534,1
535,1
536,1
537,0
538,1
539,1
540,0
541,1
542,0
543,1
544,0
545,0
546,0
547,1
548,0
549,1
550,0
551,0
552,0
553,1
554,1
555,1
556,1
557,1
558,0
559,1
560,0
561,1
562,1
563,0
564,0
565,0
566,1
567,1
568,0
569,0
570,0
571,1
572,1
573,1
574,0
575,1
576,1
577,1
578,0
579,1
580,0
581,1
582,1
583,0
584,0
585,1
586,0
587,1
588,0
589,1
590,0
591,0
592,1
593,0
594,0
595,1
596,1
597,0
598,0
599,1
600,1
601,1
602,1
603,0
604,0
605,1
606,1
607,0
608,0
609,1
610,0
611,1
612,1
613,1
614,0
615,0
616,1
617,0
618,0
619,0
620,1
621,0
622,1
623,1
624,0
625,1
626,0
627,0
628,0
629,0
630,1
631,1
632,1
633,0
634,1
635,1
636,1
637,0
638,1
639,1
640,1
641,1
642,1
643,0
644,0
645,1
646,0
647,1
648,0
649,1
650,0
651,0
652,1
653,1
654,0
655,1
656,1
657,1
658,1
659,1
660,0
661,1
662,1
663,0
664,0
665,1
666,0
667,1
668,0
669,0
670,0
671,0
672,0
673,1
674,0
675,1
676,1
677,1
678,0
679,1
680,0
681,0
682,0
683,0
684,0
685,1
686,1
687,1
688,1
689,1
690,0
691,1
692,1
693,0
694,1
695,1
696,0
697,1
698,1
699,1
700,1
701,0
702,1
703,0
704,1
705,1
706,1
707,0
708,0
709,1
710,0
711,0
712,0
713,0
714,1
715,1
716,0
717,0
718,1
719,1
720,0
721,0
722,1
723,1
724,1
725,1
726,1
727,0
728,0
729,1
730,1
731,1
732,0
733,0
734,0
735,1
736,1
737,0
738,0
739,0
740,0
741,1
742,1
743,1
744,1
745,0
746,1
747,0
748,0
749,1
750,0
751,0
752,1
753,1
754,1
755,1
756,1
757,0
758,1
759,1
760,0
761,0
762,1
763,0
764,0
765,1
766,0
767,0
768,1
769,0
770,0
771,0
772,0
773,1
774,0
775,1
776,1
777,0
778,1
779,1
780,0
781,0
782,1
783,0
784,1
785,1
786,0
787,1
788,1
789,0
790,1
791,1
792,0
793,1
794,1
795,0
796,0
797,1
798,1
799,1
800,1
801,1
802,0
803,0
804,0
805,0
806,0
807,1
808,0
809,0
810,1
811,0
812,0
